name,Fold,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,0,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,1,not similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,2,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,3,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,4,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,5,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,6,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,7,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,8,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME,9,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,0,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,1,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,2,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,3,not similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,4,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,5,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,6,not similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,7,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,8,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME,9,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@LDH TREND:SAME@@Pair:LDH TREND:SAME@Contain@Albumin STATE:LOW@@Pair:LDH TREND:SAME@Contain@Albumin TREND:SAME,0,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@LDH TREND:SAME@@Pair:LDH TREND:SAME@Contain@Albumin STATE:LOW@@Pair:LDH TREND:SAME@Contain@Albumin TREND:SAME,1,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@LDH TREND:SAME@@Pair:LDH TREND:SAME@Contain@Albumin STATE:LOW@@Pair:LDH TREND:SAME@Contain@Albumin TREND:SAME,2,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@LDH TREND:SAME@@Pair:LDH TREND:SAME@Contain@Albumin STATE:LOW@@Pair:LDH TREND:SAME@Contain@Albumin TREND:SAME,3,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@LDH TREND:SAME@@Pair:LDH TREND:SAME@Contain@Albumin STATE:LOW@@Pair:LDH TREND:SAME@Contain@Albumin TREND:SAME,4,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@LDH TREND:SAME@@Pair:LDH TREND:SAME@Contain@Albumin STATE:LOW@@Pair:LDH TREND:SAME@Contain@Albumin TREND:SAME,5,similar
@@Pair:Albumin STATE:LOW@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@Albumin STATE:LOW@@Pair:LDH STATE:NORMAL@Contain@Albumin TREND:SAME@@Pair:LDH STATE:NORMAL@Contain@LDH TREND:SAME@@Pair:LDH TREND:SAME@Contain@Albumin STATE:LOW@@Pair:LDH TREND:SAME@Contain@Albumin TREND:SAME,6,similar
